date;location;product;balance;value
2023-05-03;841;35416;1;5.79
2023-05-03;841;62782;1;5.98
2023-05-03;841;55917;0;0
2023-05-03;841;15589;4;105.96
2023-05-03;841;21141;1;25.63
2023-05-03;841;48813;1;4.99
2023-05-03;841;51957;3;17.25
2023-05-03;841;35772;0;0
2023-05-03;841;31330;2;103
2023-05-03;841;58701;1;42.8
2023-05-03;841;20635;2;46.44
2023-06-29;841;15590;1;31.08
2023-06-29;841;35416;1;5.79
2023-06-29;841;21141;1;25.63
2023-06-29;841;48812;1;5.98
2023-06-29;841;48813;3;14.97
2023-06-29;841;55917;1;9
2023-06-29;841;62782;3;21.03
2023-06-29;841;15589;5;121.5
2023-06-29;841;51957;3;17.13
2023-06-29;841;35772;3;35.76
2023-06-29;841;1439;3;45.3
2023-06-29;841;18064;41;92.25
2023-06-29;841;5345;8;39.92
2023-06-29;841;36857;3;5.04
2023-06-29;841;9607;5;40
2023-06-29;841;58701;1;42.86
2023-06-29;841;31330;2;103
2023-06-29;841;20635;3;70.11
2023-08-10;1314;18064;223;865.24
2023-08-10;1314;9607;17;223.89
2023-08-10;1314;1439;4;74.24
2023-08-10;1314;36857;11;33.55
2023-08-10;1314;5345;5;41.45
2023-08-10;1314;44217;2;83.28
2023-08-10;1314;58701;2;103.34
2023-08-10;1314;20635;11;330.99
2023-08-10;1314;31330;5;330.1
2023-08-10;1314;13315;3;131.55
2023-06-17;1314;35416;3;46.29
2023-06-17;1314;21141;2;61.04
2023-06-17;1314;48812;8;66.72
2023-06-17;1314;18064;228;884.64
2023-06-17;1314;9607;20;263.2
2023-06-17;1314;1439;2;38.28
2023-06-17;1314;36857;10;30.6
2023-06-17;1314;5345;6;49.32
2023-06-17;1314;13315;3;111.93
2023-06-17;1314;44217;2;82.82
2023-06-17;1314;58701;1;51.67
2023-06-17;1314;20635;16;481.28
2023-06-17;1314;31330;0;0
2023-04-17;841;15590;1;31.08
2023-04-17;841;62782;1;5.98
2023-04-17;841;48812;1;5.98
2023-04-17;841;55917;0;0
2023-04-17;841;48813;1;4.99
2023-04-17;841;35416;1;5.79
2023-04-17;841;21141;1;25.63
2023-04-17;841;51957;4;23
2023-04-17;841;15589;2;52.98
2023-04-17;841;35772;1;11.29
2023-04-17;841;18064;54;121.5
2023-04-17;841;9607;1;8
2023-04-17;841;5345;3;14.97
2023-04-17;841;36857;3;4.47
2023-04-17;841;1439;3;45.3
2023-04-17;841;31330;1;50.39
2023-04-17;841;58701;1;42.8
2023-04-17;841;20635;3;69.66
2023-04-17;1314;57912;10;116.1
2023-04-17;1314;51957;2;24.48
2023-04-17;1314;15589;1;32.11
2023-04-17;1314;62782;1;13.61
2023-04-17;1314;48813;0;0
2023-04-17;1314;35416;0;0
2023-04-17;1314;21141;0;0
2023-04-17;1314;48812;0;0
2023-04-17;1314;35772;0;0
2023-04-17;1314;18064;204;789.48
2023-04-17;1314;9607;15;194.1
2023-04-17;1314;1439;2;37.02
2023-04-17;1314;36857;9;28.44
2023-04-17;1314;5345;2;16.2
2023-04-17;1314;13315;1;33.11
2023-04-17;1314;44217;1;39.41
2023-04-17;1314;58701;2;103.34
2023-04-17;1314;20635;9;269.91
2023-04-17;1314;31330;4;263.84
2023-08-24;1314;62364;1;32.58
2023-08-10;1314;62364;1;32.58
2023-07-05;841;15590;1;31.08
2023-07-05;841;35416;1;5.79
2023-07-05;841;21141;1;25.63
2023-07-05;841;48812;1;5.98
2023-07-05;841;48813;3;14.97
2023-07-05;841;55917;1;9
2023-07-05;841;62782;3;21.03
2023-07-05;841;15589;10;242.5
2023-07-05;841;51957;3;17.13
2023-07-05;841;35772;2;23.84
2023-07-05;841;1439;3;45.3
2023-07-05;841;18064;38;85.5
2023-07-05;841;36857;3;5.13
2023-07-05;841;5345;9;44.91
2023-07-05;841;9607;5;40
2023-07-05;841;31330;2;103
2023-07-05;841;20635;3;70.11
2023-07-05;841;58701;1;42.86
2023-03-03;841;31330;1;50.39
2023-03-03;841;58701;1;42.8
2023-03-03;841;20635;3;69.66
2023-06-16;1314;57912;10;116.1
2023-06-16;1314;62782;1;13.61
2023-06-16;1314;51957;2;24.6
2023-06-16;1314;15589;9;268.2
2023-06-16;1314;48813;2;11.98
2023-05-20;841;15590;1;31.08
2023-05-20;841;35416;1;5.79
2023-05-20;841;48812;1;5.98
2023-05-20;841;15589;1;26.49
2023-05-20;841;21141;1;25.63
2023-05-20;841;62782;0;0
2023-05-20;841;48813;3;14.97
