location,product,product_name,z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
1314,15589,ANTUX XAROPE 120ML,2.05,5,300.5371,1.0,1.0,0.0,297.0567,264.0759,32.9808,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.28,7,307.8375,1.0,1.0,0.0,305.7492,264.0759,41.6733,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.65,7,307.8375,1.0,1.0,0.0,305.7492,264.0759,41.6733,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.28,10,312.7507,1.0,1.0,0.0,310.6624,264.0759,46.5864,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.65,10,312.7507,1.0,1.0,0.0,310.6624,264.0759,46.5864,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,0.84,14,319.6133,1.0,1.0,0.0,318.2211,264.0759,54.1451,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.04,14,319.6133,1.0,1.0,0.0,318.2211,264.0759,54.1451,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.33,5,335.3071,1.0,1.0,0.0,331.8267,264.0759,67.7508,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.58,5,335.3071,1.0,1.0,0.0,331.8267,264.0759,67.7508,320.2,0.0,10,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.05,7,342.6075,1.0,1.0,0.0,340.5192,264.0759,76.4433,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.05,10,347.5207,1.0,1.0,0.0,345.4324,264.0759,81.3564,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.28,14,354.3833,1.0,1.0,0.0,352.9911,264.0759,88.9151,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,1.65,14,354.3833,1.0,1.0,0.0,352.9911,264.0759,88.9151,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.33,7,377.3775,1.0,1.0,0.0,375.2892,264.0759,111.2133,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.58,7,377.3775,1.0,1.0,0.0,375.2892,264.0759,111.2133,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.33,10,382.2907,1.0,1.0,0.0,380.2024,264.0759,116.1264,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.58,10,382.2907,1.0,1.0,0.0,380.2024,264.0759,116.1264,192.12,0.0,6,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.05,14,389.1533,1.0,1.0,0.0,387.7611,264.0759,123.6851,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.33,14,423.9233,1.0,1.0,0.0,422.5311,264.0759,158.4551,128.08,0.0,4,55.016,31.0,92,92
1314,15589,ANTUX XAROPE 120ML,2.58,14,423.9233,1.0,1.0,0.0,422.5311,264.0759,158.4551,128.08,0.0,4,55.016,31.0,92,92
